numberOfNodes,numberOfOperations
680,2321527
681,2328346
682,2335175
683,2342014
684,2348863
685,2355722
686,2362591
687,2369470
688,2376359
689,2383258
690,2390167
691,2397086
692,2404015
693,2410954
694,2417903
695,2424862
696,2431831
697,2438810
698,2445799
699,2452798
700,2459807
701,2466826
702,2473855
703,2480894
704,2487943
705,2495002
706,2502071
707,2509150
708,2516239
709,2523338
710,2530447
711,2537566
712,2544695
713,2551834
714,2558983
715,2566142
716,2573311
717,2580490
718,2587679
719,2594878
720,2602087
721,2609306
722,2616535
723,2623774
724,2631023
725,2638282
726,2645551
727,2652830
728,2660119
729,2667418
730,2674727
731,2682046
732,2689375
733,2696714
734,2704063
735,2711422
736,2718791
737,2726170
738,2733559
739,2740958
740,2748367
741,2755786
742,2763215
743,2770654
744,2778103
745,2785562
746,2793031
747,2800510
748,2807999
749,2815498
750,2823007
751,2830526
752,2838055
753,2845594
754,2853143
755,2860702
756,2868271
757,2875850
758,2883439
759,2891038
760,2898647
761,2906266
762,2913895
763,2921534
764,2929183
765,2936842
766,2944511
767,2952190
768,2959879
769,2967578
770,2975287
771,2983006
772,2990735
773,2998474
774,3006223
775,3013982
776,3021751
777,3029530
778,3037319
779,3045118
780,3052927
781,3060746
782,3068575
783,3076414
784,3084263
785,3092122
786,3099991
787,3107870
788,3115759
789,3123658
790,3131567
791,3139486
792,3147415
793,3155354
794,3163303
795,3171262
796,3179231
797,3187210
798,3195199
799,3203198
800,3211207
801,3219226
802,3227255
803,3235294
804,3243343
805,3251402
806,3259471
807,3267550
808,3275639
809,3283738
810,3291847
811,3299966
812,3308095
813,3316234
814,3324383
815,3332542
816,3340711
817,3348890
818,3357079
819,3365278
820,3373487
821,3381706
822,3389935
823,3398174
824,3406423
825,3414682
826,3422951
827,3431230
828,3439519
829,3447818
830,3456127
831,3464446
832,3472775
833,3481114
834,3489463
835,3497822
836,3506191
837,3514570
838,3522959
839,3531358
840,3539767
841,3548186
842,3556615
843,3565054
844,3573503
845,3581962
846,3590431
847,3598910
848,3607399
849,3615898
850,3624407
851,3632926
852,3641455
853,3649994
854,3658543
855,3667102
856,3675671
857,3684250
858,3692839
859,3701438
860,3710047
861,3718666
862,3727295
863,3735934
864,3744583
865,3753242
866,3761911
867,3770590
868,3779279
869,3787978
870,3796687
871,3805406
872,3814135
873,3822874
874,3831623
875,3840382
876,3849151
877,3857930
878,3866719
879,3875518
880,3884327
881,3893146
882,3901975
883,3910814
884,3919663
885,3928522
886,3937391
887,3946270
888,3955159
889,3964058
890,3972967
891,3981886
892,3990815
893,3999754
894,4008703
895,4017662
896,4026631
897,4035610
898,4044599
899,4053598
900,4062607
901,4071626
902,4080655
903,4089694
904,4098743
905,4107802
906,4116871
907,4125950
908,4135039
909,4144138
910,4153247
911,4162366
912,4171495
913,4180634
914,4189783
915,4198942
916,4208111
917,4217290
918,4226479
919,4235678
920,4244887
921,4254106
922,4263335
923,4272574
924,4281823
925,4291082
926,4300351
927,4309630
928,4318919
929,4328218
930,4337527
931,4346846
932,4356175
933,4365514
934,4374863
935,4384222
936,4393591
937,4402970
938,4412359
939,4421758
940,4431167
941,4440586
942,4450015
943,4459454
944,4468903
945,4478362
946,4487831
947,4497310
948,4506799
949,4516298
950,4525807
951,4535326
952,4544855
953,4554394
954,4563943
955,4573502
956,4583071
957,4592650
958,4602239
959,4611838
960,4621447
961,4631066
962,4640695
963,4650334
964,4659983
965,4669642
966,4679311
967,4688990
968,4698679
969,4708378
